"Company Name","Website","Email","Additional Emails","Phone","Source","Tags"
"ALIVE","https://localemagazine.com/what-to-do-in-southern-california/what-to-do-in-palm-springs/","","","+16912073304","From Aggregator","log beach california restaurant"
"SeaWorld San Diego Theme Park","https://localemagazine.com/ads/seaworld-rectangle/","","","+11975818529","From Aggregator","log beach california restaurant"
"Outdoor Activities · Locale Magazine","https://localemagazine.com/tag/outdoor/","","","+16912073304","From Aggregator","log beach california restaurant"
"Sharon Williams, Author at Locale Magazine","https://localemagazine.com/author/sharonwilliams/","","","+16912073304","From Aggregator","log beach california restaurant"
"The 908","https://www.the908restaurant.com/","","","+15624205331","From Aggregator","log beach california restaurant"
"Best Laguna Beach Restaurants for a Dinner Date","https://localemagazine.com/best-laguna-beach-restaurants/","","","+16912073304","From Aggregator","log beach california restaurant"
"FOODIE","https://localemagazine.com/best-restaurants-near-me/what-to-eat-drink-in-san-diego/","","","+16912073304","From Aggregator","log beach california restaurant"
"ESCAPE","https://localemagazine.com/ultimate-travel-guides/home-away-las-vegas/","","","+16912073304","From Aggregator","log beach california restaurant"
"ESCAPE","https://localemagazine.com/ultimate-travel-guides/home-away-san-diego/","","","+16912073304","From Aggregator","log beach california restaurant"
"Gaucho Beach","https://www.gauchobeach.com/","","","+11482989552","From Aggregator","log beach california restaurant"
"San Diego's Newest Italian Restaurant","https://localemagazine.com/ads/sd-monthly-rotating-rectangle-banner-braemar-partnership-dba-evans-hotels/","","","+18585397646","From Aggregator","log beach california restaurant"
"Media Kits · Locale Magazine","https://localemagazine.com/media-kit/","","","+16912073304","From Aggregator","log beach california restaurant"
"San Diego Dining Experiences That’ll Knock Your Socks Off","https://localemagazine.com/unique-san-diego-dining-experiences/","","","+16912073304","From Aggregator","log beach california restaurant"
"Buy mangettelb.com Domain on GoDaddy for 395","https://mangettelb.com/","","","+11749645415","From Aggregator","log beach california restaurant"
"13 Unique Things to Do in Long Beach on Your Next Date","https://localemagazine.com/best-valentines-day-dates-in-long-beach/","","","+16912073304","From Aggregator","log beach california restaurant"
"Best Brunch Spots in West Hollywood","https://localemagazine.com/best-brunch-west-hollywood/","","","+16912073304","From Aggregator","log beach california restaurant"
"localemagazine.com","https://localemagazine.com/best-happy-hours-in-long-beach/credit-sam-h-habibeh_ammatoli_amm2/#main","","","+12222222222","From Aggregator","log beach california restaurant"
"SHOPPE","https://localemagazine.com/style-in-southern-california/style-in-palm-springs/","","","+16912073304","From Aggregator","log beach california restaurant"
"23 of the Best Rooftops in San Diego With Views for Days","https://localemagazine.com/best-san-diego-rooftops/","","","+16912073304","From Aggregator","log beach california restaurant"
"Fish House","https://localemagazine.com/ads/rectangle-pacific-catch-san-diego/","","","+11751973050","From Aggregator","log beach california restaurant"
"Ultimate Travel Guides · Locale Magazine","https://localemagazine.com/ultimate-travel-guides/","","","+16912073304","From Aggregator","log beach california restaurant"
"Arizona · Locale Magazine","https://localemagazine.com/arizona/","","","+16912073304","From Aggregator","log beach california restaurant"
"Camping · Locale Magazine","https://localemagazine.com/tag/camping/","","","+16912073304","From Aggregator","log beach california restaurant"
"ALIVE","https://localemagazine.com/what-to-do-in-southern-california/what-to-do-in-orange-county/","","","+16912073304","From Aggregator","log beach california restaurant"
"localemagazine.com","https://localemagazine.com/best-happy-hours-in-long-beach/credit-sam-h-habibeh_ammatoli_amm3/#main","","","+12222222222","From Aggregator","log beach california restaurant"
"Sun’s Out, Fun’s Out: Why Long Beach Is the Ultimate Summer Playground","https://localemagazine.com/long-beach-summer-events/","","","+16912073304","From Aggregator","log beach california restaurant"
"ALIVE","https://localemagazine.com/what-to-do-in-southern-california/what-to-do-in-las-vegas/","","","+16912073304","From Aggregator","log beach california restaurant"
"Fish House","https://localemagazine.com/ads/in-story-pacific-catch-san-diego/","","","+11751973050","From Aggregator","log beach california restaurant"
"itinerary · Locale Magazine","https://localemagazine.com/tag/itinerary/","","","+16912073304","From Aggregator","log beach california restaurant"
"The 908","https://www.the908restaurant.com","","","+15624205331","From Aggregator","log beach california restaurant"
"Writer","https://localemagazine.com/author/allielebos/","","","+16912073304","From Aggregator","log beach california restaurant"
"Availability","https://localemagazine.com/ads/gps-monthly-in-story-ad-custom-story-renaissance-esmeralda/","","","+11228636439","From Aggregator","log beach california restaurant"
"Locales Only Podcast · Locale Magazine","https://localemagazine.com/locales-only-podcast/","","","+16912073304","From Aggregator","log beach california restaurant"
"FOODIE","https://localemagazine.com/best-restaurants-near-me/what-to-eat-drink-in-palm-springs/","","","+16912073304","From Aggregator","log beach california restaurant"
"17 of the Hands","https://localemagazine.com/best-pizza-places-in-orange-county/","","","+16912073304","From Aggregator","log beach california restaurant"
"SHOPPE","https://localemagazine.com/style-in-southern-california/style-in-orange-county/","","","+16912073304","From Aggregator","log beach california restaurant"
"Culinary Adventures OC: ENTER TO WIN a Culinary Adventure","https://localemagazine.com/ads/irvine-company-retail-rectangle-1/","","","+16912073304","From Aggregator","log beach california restaurant"
"Contributor · Locale Magazine","https://localemagazine.com/contributor/","","","+16912073304","From Aggregator","log beach california restaurant"
"Regions · Locale Magazine","https://localemagazine.com/regions/","","","+16912073304","From Aggregator","log beach california restaurant"
"San Diego · Locale Magazine","https://localemagazine.com/san-diego/","","","+16912073304","From Aggregator","log beach california restaurant"
"ALIVE","https://localemagazine.com/what-to-do-in-southern-california/what-to-do-in-los-angeles/","","","+16912073304","From Aggregator","log beach california restaurant"
"ESCAPE","https://localemagazine.com/ultimate-travel-guides/home-away-los-angeles/","","","+16912073304","From Aggregator","log beach california restaurant"
"SeaWorld San Diego Theme Park","https://localemagazine.com/ads/seaworld-in-story/","","","+11975818529","From Aggregator","log beach california restaurant"
"localemagazine.com","https://localemagazine.com/best-happy-hours-in-long-beach/credit-sam-h-habibeh_ammatoli_amm4/#main","","","+12222222222","From Aggregator","log beach california restaurant"
"Palm Springs · Locale Magazine","https://localemagazine.com/palm-springs/","","","+16912073304","From Aggregator","log beach california restaurant"
"INTERNATIONAL · Locale Magazine","https://localemagazine.com/international/","","","+16912073304","From Aggregator","log beach california restaurant"
"Dining · Locale Magazine","https://localemagazine.com/tag/dining/","","","+16912073304","From Aggregator","log beach california restaurant"
"Writer","https://localemagazine.com/author/allielebos/?mab_v3=145278","","","+16912073304","From Aggregator","log beach california restaurant"
"Orange County · Locale Magazine","https://localemagazine.com/orange-county/","","","+16912073304","From Aggregator","log beach california restaurant"
"Health · Locale Magazine","https://localemagazine.com/style-in-southern-california/health/","","","+16912073304","From Aggregator","log beach california restaurant"
"Bare It All: Here are the Best Nude Resorts and Pools in California","https://localemagazine.com/bare-it-all-here-are-the-best-nude-resorts-and-pools-in-california/","","","+16912073304","From Aggregator","log beach california restaurant"
"localemagazine.com","https://localemagazine.com/best-long-beach-restaurants/0001-marlena-2023-11-29-ig-min/#main","","","+17777777777","From Aggregator","log beach california restaurant"
"Hawaiian Islands · Locale Magazine","https://localemagazine.com/hawaiian-islands/","","","+16912073304","From Aggregator","log beach california restaurant"
"SHOPPE","https://localemagazine.com/style-in-southern-california/style-in-las-vegas/","","","+16912073304","From Aggregator","log beach california restaurant"
"Best Oceanfront Restaurants Orange County","https://localemagazine.com/oceanfront-restaurants-orange-county/","","","+16912073304","From Aggregator","log beach california restaurant"
"Cannabis · Locale Magazine","https://localemagazine.com/tag/cannabis/","","","+16912073304","From Aggregator","log beach california restaurant"
"Heritage","https://heritagerestaurant.fullbellyfoodgroup.com/","info@heritagerestaurantlb.com","reservations@heritagerestaurantlb.com","+15623431068","From Aggregator","log beach california restaurant"
"Event Submissions · Locale Magazine","http://www.localemagazine.com/event-submissions/","","","+16912073304","From Aggregator","log beach california restaurant"
"FOODIE · Locale Magazine","https://localemagazine.com/best-restaurants-near-me/","","","+16912073304","From Aggregator","log beach california restaurant"
"10 Happy Hours in Long Beach to Kick off the Weekend Early","https://localemagazine.com/best-happy-hours-in-long-beach/","","","+16912073304","From Aggregator","log beach california restaurant"
"ESCAPE","https://localemagazine.com/ultimate-travel-guides/home-away-palm-springs/","","","+16912073304","From Aggregator","log beach california restaurant"
"Best Rooftops in Los Angeles Ideal for a Summer Afternoon","https://localemagazine.com/best-rooftops-los-angeles/","","","+16912073304","From Aggregator","log beach california restaurant"
"ALIVE · Locale Magazine","https://localemagazine.com/what-to-do-in-southern-california/","","","+16912073304","From Aggregator","log beach california restaurant"
"Locale Magazine · HOME","https://localemagazine.com","","","+16912073304","From Aggregator","log beach california restaurant"
"Privacy Policy","https://localemagazine.com/privacy-policy/","","","+16912073304","From Aggregator","log beach california restaurant"
"Unwind in Paradise: Your Guide to a Laguna Beach Staycation","https://localemagazine.com/laguna-beach-staycation/","","","+16912073304","From Aggregator","log beach california restaurant"
"","https://www.charmsiamrestaurant.com/","e081c35a018348d18e09ed427bf39b65@o462166.ingest.sentry.io","","+15626282424","From Aggregator","log beach california restaurant"
"Unique Dining in Los Angeles: Coolest Dining Experiences in LA","https://localemagazine.com/unique-dining-los-angeles/","tsbphoto@aol.com","","+16912073304","From Aggregator","log beach california restaurant"
"Locales Only Podcast · Locale Magazine","https://localemagazine.com/ads/auto-draft-37/","","","+16912073304","From Aggregator","log beach california restaurant"
"June 15 · Locale Magazine","https://localemagazine.com/2024/06/15/","","","+16912073304","From Aggregator","log beach california restaurant"
"FOODIE","https://localemagazine.com/best-restaurants-near-me/what-to-eat-drink-las-vegas/","","","+16912073304","From Aggregator","log beach california restaurant"
"Subscribe to Locale Magazine's Newsletter","https://localemagazine.com/subscribe/","","","+16912073304","From Aggregator","log beach california restaurant"
"Must","https://localemagazine.com/lido-marina-village/","","","+16912073304","From Aggregator","log beach california restaurant"
"ESCAPE","https://localemagazine.com/ultimate-travel-guides/escape-southern-california/","","","+16912073304","From Aggregator","log beach california restaurant"
"USA · Locale Magazine","https://localemagazine.com/regions/domestic/","","","+16912073304","From Aggregator","log beach california restaurant"
"Culinary Adventures OC: ENTER TO WIN a Culinary Adventure","https://localemagazine.com/ads/irvine-company-retail-in-story-1/","","","+16912073304","From Aggregator","log beach california restaurant"
"Michelin","https://localemagazine.com/best-michelin-star-restaurants-in-la/","tsbphoto@aol.com","","+16912073304","From Aggregator","log beach california restaurant"
"ALIVE","https://localemagazine.com/what-to-do-in-southern-california/what-to-do-in-san-diego-do/","","","+16912073304","From Aggregator","log beach california restaurant"
"Localendar · Locale Magazine","https://localemagazine.com/localendar/","tabitha@theinfluence.com","ali@theinfluence.com, sandiegostore@aliceandolivia.com, gem@theinfluence.com","+16912073304","From Aggregator","log beach california restaurant"
"About Locale · Locale Magazine","https://localemagazine.com/about-locale/","","","+16912073304","From Aggregator","log beach california restaurant"
"Thai Street Food","https://www.chiangrailb.com/","8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","+11751908751","From Aggregator","log beach california restaurant"
"Su Casa · Locale Magazine","https://localemagazine.com/ultimate-travel-guides/su-casa/","","","+16912073304","From Aggregator","log beach california restaurant"
"Happy Hour","https://www.cafesevilla.com/menu/happy-hour-long-beach/","","","+19496881555","From Aggregator","log beach california restaurant"
"Fall into Aloha","https://localemagazine.com/ads/grand-wailea-in-story-2/","","","+18088751234","From Aggregator","log beach california restaurant"
"Summer in Palm Springs","https://localemagazine.com/ads/gps-monthly-rotating-rectangle-banner-visit-greater-palm-springs-4/","","","+11744760935","From Aggregator","log beach california restaurant"
"A PCH","https://www.riverjettyrg.com/a-pch/","apch@riverjettyrg.com","","+15627847498","From Aggregator","log beach california restaurant"
"ESCAPE","https://localemagazine.com/ultimate-travel-guides/home-away-orange-county/","","","+16912073304","From Aggregator","log beach california restaurant"
"Los Angeles · Locale Magazine","https://localemagazine.com/los-angeles/","","","+16912073304","From Aggregator","log beach california restaurant"
"SHOPPE","https://localemagazine.com/style-in-southern-california/style-in-san-diego-style-in-southern-california/","","","+16912073304","From Aggregator","log beach california restaurant"
"SHOPPE · Locale Magazine","https://localemagazine.com/style-in-southern-california/","","","+16912073304","From Aggregator","log beach california restaurant"
"Locale Magazine · HOME","http://www.localemagazine.com","","","+16912073304","From Aggregator","log beach california restaurant"
"Ellie's","https://ellieslbc.com/","hello@ellieslbc.com","user@domain.com","+15624374837","From Aggregator","log beach california restaurant"
"ALIVE","https://localemagazine.com/what-to-do-in-southern-california/what-to-do-in-san-francisco/","","","+16912073304","From Aggregator","log beach california restaurant"
"Fall into Aloha","https://localemagazine.com/ads/grand-wailea-in-story-1/","","","+18088751234","From Aggregator","log beach california restaurant"
"Culinary Adventures OC: ENTER TO WIN a Culinary Adventure","https://localemagazine.com/ads/irvine-company-retail-leaderboard-1/","","","+16912073304","From Aggregator","log beach california restaurant"
"FOODIE","https://localemagazine.com/best-restaurants-near-me/what-to-eat-drink-san-francisco/","","","+16912073304","From Aggregator","log beach california restaurant"
"FOODIE","https://localemagazine.com/best-restaurants-near-me/what-to-eat-drink-in-los-angeles/","","","+16912073304","From Aggregator","log beach california restaurant"
